Cup,season,round,Date,HomeTeam,AwayTeam,competition_type,FTHG,FTAG,FTR,HomeDiv,AwayDiv,Div
CIT,2016,Second Round,2016-08-07,Benevento Calcio,US Salernitana 1919,domestic_cup,2,4,A,ITA1,ITA2,DCUP
CIT,2016,Third Round,2016-08-12,Genoa CFC,US Lecce,domestic_cup,3,2,H,ITA1,ITA2,DCUP
CIT,2016,Third Round,2016-08-13,Delfino Pescara 1936,Frosinone Calcio,domestic_cup,2,0,H,ITA2,ITA2,DCUP
CIT,2016,Third Round,2016-08-13,Atalanta BC,US Cremonese,domestic_cup,3,0,H,ITA1,ITA2,DCUP
CIT,2016,Third Round,2016-08-13,Udinese Calcio,Spezia Calcio,domestic_cup,2,3,A,ITA1,ITA1,DCUP
CIT,2016,Third Round,2016-08-14,Hellas Verona,FC Crotone,domestic_cup,2,1,H,ITA1,ITA1,DCUP
CIT,2016,Third Round,2016-08-15,Cagliari Calcio,SPAL,domestic_cup,5,1,H,ITA1,ITA2,DCUP
CDR,2016,Second Round Replay,2016-09-06,UD Almería,Rayo Vallecano,domestic_cup,0,2,A,ESP2,ESP2,DCUP
CDR,2016,Second Round Replay,2016-09-07,Cádiz CF,Levante UD,domestic_cup,2,1,H,ESP1,ESP1,DCUP
CDR,2016,Second Round Replay,2016-09-07,Real Zaragoza,Real Valladolid CF,domestic_cup,1,2,A,ESP2,ESP1,DCUP
CDR,2016,Second Round Replay,2016-09-08,SD Huesca,Girona FC,domestic_cup,1,0,H,ESP1,ESP2,DCUP
DFB,2016,Second Round,2016-10-25,Borussia Mönchengladbach,VfB Stuttgart,domestic_cup,2,0,H,DEU1,DEU1,DCUP
DFB,2016,Second Round,2016-10-26,Bayern Munich,FC Augsburg,domestic_cup,3,1,H,DEU1,DEU1,DCUP
DFB,2016,Second Round,2016-10-26,SpVgg Greuther Fürth,1.FSV Mainz 05,domestic_cup,2,1,H,DEU2,DEU1,DCUP
DFB,2016,Second Round,2016-10-26,Hannover 96,Fortuna Düsseldorf,domestic_cup,6,1,H,DEU2,DEU2,DCUP
DFB,2016,Second Round,2016-10-26,1.FC Heidenheim 1846,VfL Wolfsburg,domestic_cup,0,1,A,DEU2,DEU1,DCUP
DFB,2016,Second Round,2016-10-26,1.FC Nuremberg,FC Schalke 04,domestic_cup,2,3,A,DEU2,DEU1,DCUP
DFB,2016,Second Round,2016-10-26,Borussia Dortmund,1.FC Union Berlin,domestic_cup,4,1,H,DEU1,DEU1,DCUP
CDR,2016,intermediate stage 1st leg,2016-11-29,CD Leganés,Valencia CF,domestic_cup,1,3,A,ESP2,ESP1,DCUP
CDR,2016,intermediate stage 1st leg,2016-11-29,Sporting Gijón,SD Eibar,domestic_cup,1,2,A,ESP2,ESP1,DCUP
CDR,2016,intermediate stage 1st leg,2016-11-30,Granada CF,CA Osasuna,domestic_cup,1,0,H,ESP1,ESP1,DCUP
CIT,2016,Fourth Round,2016-11-30,Atalanta BC,Delfino Pescara 1936,domestic_cup,3,0,H,ITA1,ITA2,DCUP
CIT,2016,Fourth Round,2016-11-30,UC Sampdoria,Cagliari Calcio,domestic_cup,3,0,H,ITA1,ITA1,DCUP
CDR,2016,intermediate stage 1st leg,2016-12-01,Real Valladolid CF,Real Sociedad,domestic_cup,1,3,A,ESP1,ESP1,DCUP
CDR,2016,intermediate stage 1st leg,2016-12-01,SD Huesca,UD Las Palmas,domestic_cup,2,2,D,ESP1,ESP2,DCUP
CIT,2016,Fourth Round,2016-12-01,Bologna FC 1909,Hellas Verona,domestic_cup,4,0,H,ITA1,ITA1,DCUP
CDR,2016,intermediate stage 2nd leg,2016-12-20,UD Las Palmas,SD Huesca,domestic_cup,2,1,H,ESP2,ESP1,DCUP
CDR,2016,intermediate stage 2nd leg,2016-12-20,Real Sociedad,Real Valladolid CF,domestic_cup,1,1,D,ESP1,ESP1,DCUP
CDR,2016,intermediate stage 2nd leg,2016-12-21,SD Eibar,Sporting Gijón,domestic_cup,3,1,H,ESP1,ESP2,DCUP
CDR,2016,intermediate stage 2nd leg,2016-12-21,CA Osasuna,Granada CF,domestic_cup,2,0,H,ESP1,ESP1,DCUP
CDR,2016,intermediate stage 2nd leg,2016-12-21,Valencia CF,CD Leganés,domestic_cup,2,1,H,ESP1,ESP2,DCUP
CDR,2016,last 16 1st leg,2017-01-03,UD Las Palmas,Atlético de Madrid,domestic_cup,0,2,A,ESP2,ESP1,DCUP
CDR,2016,last 16 1st leg,2017-01-03,CA Osasuna,SD Eibar,domestic_cup,0,3,A,ESP1,ESP1,DCUP
