Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeDiv,AwayDiv
INT1,13/09/2016,Barcelona,Celtic,7,0,H,ESP1,SCO1
INT1,13/09/2016,Bayern Munich,Rostov,5,0,H,DEU1,RUS1
INT1,13/09/2016,Dynamo Kiev,Napoli,1,2,A,UKR1,ITA1
INT1,13/09/2016,Benfica,Besiktas,1,1,D,PRT1,TUR1
INT1,13/09/2016,Paris SG,Arsenal,1,1,D,FRA1,ENG1
INT1,13/09/2016,Basel,Ludogorets,1,1,D,CHE1,BGR1
INT1,13/09/2016,PSV Eindhoven,Ath Madrid,0,1,A,NLD1,ESP1
INT1,14/09/2016,Club Brugge,Leicester,0,3,A,BEL1,ENG1
INT1,14/09/2016,Tottenham,Monaco,1,2,A,ENG1,FRA1
INT1,14/09/2016,Man City,M'gladbach,4,0,H,ENG1,DEU1
INT1,14/09/2016,Juventus,Sevilla,0,0,D,ITA1,ESP1
INT1,14/09/2016,Legia Warsaw,Dortmund,0,6,A,POL1,DEU1
INT1,14/09/2016,Real Madrid,Sp Lisbon,2,1,H,ESP1,PRT1
INT1,14/09/2016,Leverkusen,CSKA Moscow,2,2,D,DEU1,RUS1
INT1,14/09/2016,Porto,FC Copenhagen,1,1,D,PRT1,DNK1
INT1,14/09/2016,Lyon,Dinamo Zagreb,3,0,H,FRA1,HRV1
INT1,27/09/2016,Dinamo Zagreb,Juventus,0,4,A,HRV1,ITA1
INT1,27/09/2016,FC Copenhagen,Club Brugge,4,0,H,DNK1,BEL1
INT1,27/09/2016,Leicester,Porto,1,0,H,ENG1,PRT1
INT1,27/09/2016,Dortmund,Real Madrid,2,2,D,DEU1,ESP1
INT1,27/09/2016,Sp Lisbon,Legia Warsaw,2,0,H,PRT1,POL1
INT1,27/09/2016,CSKA Moscow,Tottenham,0,1,A,RUS1,ENG1
INT1,27/09/2016,Monaco,Leverkusen,1,1,D,FRA1,DEU1
INT1,27/09/2016,Sevilla,Lyon,1,0,H,ESP1,FRA1
INT1,28/09/2016,Arsenal,Basel,2,0,H,ENG1,CHE1
INT1,28/09/2016,Celtic,Man City,3,3,D,SCO1,ENG1
INT1,28/09/2016,Napoli,Benfica,4,2,H,ITA1,PRT1
INT1,28/09/2016,Ath Madrid,Bayern Munich,1,0,H,ESP1,DEU1
INT1,28/09/2016,M'gladbach,Barcelona,1,2,A,DEU1,ESP1
INT1,28/09/2016,Besiktas,Dynamo Kiev,1,1,D,TUR1,UKR1
INT1,28/09/2016,Rostov,PSV Eindhoven,2,2,D,RUS1,NLD1
INT1,28/09/2016,Ludogorets,Paris SG,1,3,A,BGR1,FRA1
INT1,18/10/2016,Club Brugge,Porto,1,2,A,BEL1,PRT1
INT1,18/10/2016,Dinamo Zagreb,Sevilla,0,1,A,HRV1,ESP1
INT1,18/10/2016,Leicester,FC Copenhagen,1,0,H,ENG1,DNK1
INT1,18/10/2016,Real Madrid,Legia Warsaw,5,1,H,ESP1,POL1
INT1,18/10/2016,Leverkusen,Tottenham,0,0,D,DEU1,ENG1
INT1,18/10/2016,Sp Lisbon,Dortmund,1,2,A,PRT1,DEU1
INT1,18/10/2016,CSKA Moscow,Monaco,1,1,D,RUS1,FRA1
INT1,18/10/2016,Lyon,Juventus,0,1,A,FRA1,ITA1
INT1,19/10/2016,Arsenal,Ludogorets,6,0,H,ENG1,BGR1
INT1,19/10/2016,Celtic,M'gladbach,0,2,A,SCO1,DEU1
INT1,19/10/2016,Napoli,Besiktas,2,3,A,ITA1,TUR1
INT1,19/10/2016,Barcelona,Man City,4,0,H,ESP1,ENG1
INT1,19/10/2016,Bayern Munich,PSV Eindhoven,4,1,H,DEU1,NLD1
INT1,19/10/2016,Dynamo Kiev,Benfica,0,2,A,UKR1,PRT1
INT1,19/10/2016,Rostov,Ath Madrid,0,1,A,RUS1,ESP1
INT1,19/10/2016,Paris SG,Basel,3,0,H,FRA1,CHE1
INT1,01/11/2016,Besiktas,Napoli,1,1,D,TUR1,ITA1
INT1,01/11/2016,Man City,Barcelona,3,1,H,ENG1,ESP1
INT1,01/11/2016,Ath Madrid,Rostov,2,1,H,ESP1,RUS1
INT1,01/11/2016,M'gladbach,Celtic,1,1,D,DEU1,SCO1
INT1,01/11/2016,Benfica,Dynamo Kiev,1,0,H,PRT1,UKR1
INT1,01/11/2016,Basel,Paris SG,1,2,A,CHE1,FRA1
INT1,01/11/2016,PSV Eindhoven,Bayern Munich,1,2,A,NLD1,DEU1
INT1,01/11/2016,Ludogorets,Arsenal,2,3,A,BGR1,ENG1
INT1,02/11/2016,FC Copenhagen,Leicester,0,0,D,DNK1,ENG1
INT1,02/11/2016,Tottenham,Leverkusen,0,1,A,ENG1,DEU1
INT1,02/11/2016,Juventus,Lyon,1,1,D,ITA1,FRA1
INT1,02/11/2016,Legia Warsaw,Real Madrid,3,3,D,POL1,ESP1
INT1,02/11/2016,Dortmund,Sp Lisbon,1,0,H,DEU1,PRT1
INT1,02/11/2016,Porto,Club Brugge,1,0,H,PRT1,BEL1
INT1,02/11/2016,Monaco,CSKA Moscow,3,0,H,FRA1,RUS1
INT1,02/11/2016,Sevilla,Dinamo Zagreb,4,0,H,ESP1,HRV1
INT1,22/11/2016,CSKA Moscow,Leverkusen,1,1,D,RUS1,DEU1
INT1,22/11/2016,Dinamo Zagreb,Lyon,0,1,A,HRV1,FRA1
INT1,22/11/2016,FC Copenhagen,Porto,0,0,D,DNK1,PRT1
INT1,22/11/2016,Leicester,Club Brugge,2,1,H,ENG1,BEL1
INT1,22/11/2016,Dortmund,Legia Warsaw,8,4,H,DEU1,POL1
INT1,22/11/2016,Sp Lisbon,Real Madrid,1,2,A,PRT1,ESP1
INT1,22/11/2016,Monaco,Tottenham,2,1,H,FRA1,ENG1
INT1,22/11/2016,Sevilla,Juventus,1,3,A,ESP1,ITA1
INT1,23/11/2016,Rostov,Bayern Munich,3,2,H,RUS1,DEU1
INT1,23/11/2016,Besiktas,Benfica,3,3,D,TUR1,PRT1
INT1,23/11/2016,Arsenal,Paris SG,2,2,D,ENG1,FRA1
INT1,23/11/2016,Celtic,Barcelona,0,2,A,SCO1,ESP1
INT1,23/11/2016,Napoli,Dynamo Kiev,0,0,D,ITA1,UKR1
INT1,23/11/2016,Ath Madrid,PSV Eindhoven,2,0,H,ESP1,NLD1
INT1,23/11/2016,M'gladbach,Man City,1,1,D,DEU1,ENG1
INT1,23/11/2016,Ludogorets,Basel,0,0,D,BGR1,CHE1
