Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
BEL1,2016-07-29,Mechelen,Club Brugge,0.0,2.0,A
FRA2,2016-07-29,Valenciennes,Clermont,2.0,0.0,H
FRA2,2016-07-29,Ajaccio GFCO,Brest,0.0,0.0,D
FRA2,2016-07-29,Troyes,Sochaux,1.0,3.0,A
FRA2,2016-07-29,Tours,Ajaccio,0.0,0.0,D
FRA2,2016-07-29,Orleans,Le Havre,0.0,1.0,A
FRA2,2016-07-29,Niort,Lens,0.0,0.0,D
FRA2,2016-07-29,Nimes,Laval,0.0,0.0,D
FRA2,2016-07-29,Bourg Peronnas,Strasbourg,0.0,0.0,D
BEL1,2016-07-30,Waregem,Eupen,3.0,0.0,H
BEL1,2016-07-30,St Truiden,Lokeren,1.0,0.0,H
BEL1,2016-07-30,Mouscron,Anderlecht,1.0,2.0,A
BEL1,2016-07-30,Charleroi,Waasland-Beveren,1.0,0.0,H
FRA2,2016-07-30,Red Star,Auxerre,0.0,0.0,D
BEL1,2016-07-31,Westerlo,Standard,2.0,2.0,D
BEL1,2016-07-31,Kortrijk,Gent,1.0,1.0,D
BEL1,2016-07-31,Genk,Oostende,2.0,1.0,H
FRA2,2016-08-01,Amiens,Reims,1.0,1.0,D
FRA2,2016-08-05,Laval,Niort,1.0,1.0,D
FRA2,2016-08-05,Brest,Orleans,2.0,1.0,H
FRA2,2016-08-05,Clermont,Red Star,0.0,0.0,D
FRA2,2016-08-05,Le Havre,Nimes,1.0,0.0,H
FRA2,2016-08-05,Lens,Tours,2.0,2.0,D
FRA2,2016-08-05,Reims,Bourg Peronnas,1.0,0.0,H
FRA2,2016-08-05,Sochaux,Valenciennes,0.0,0.0,D
NLD1,2016-08-05,Nijmegen,Zwolle,1.0,1.0,D
DEU2,2016-08-05,Kaiserslautern,Hannover,0.0,4.0,A
FRA2,2016-08-05,Auxerre,Ajaccio GFCO,1.0,2.0,A
ENG2,2016-08-05,Fulham,Newcastle,1.0,0.0,H
FRA2,2016-08-05,Ajaccio,Troyes,2.0,1.0,H
BEL1,2016-08-05,Oostende,Club Brugge,1.0,0.0,H
SCO1,2016-08-06,Partick,Inverness C,2.0,0.0,H
SCO1,2016-08-06,Rangers,Hamilton,1.0,1.0,D
SCO1,2016-08-06,Ross County,Dundee,1.0,3.0,A
SCO1,2016-08-06,Kilmarnock,Motherwell,1.0,2.0,A
FRA2,2016-08-06,Strasbourg,Amiens,1.0,0.0,H
SCO2,2016-08-06,St Mirren,Morton,1.0,1.0,D
SCO2,2016-08-06,Falkirk,Hibernian,1.0,2.0,A
SCO2,2016-08-06,Dunfermline,Dumbarton,4.0,3.0,H
BEL1,2016-08-06,Mouscron,Charleroi,0.0,1.0,A
DEU2,2016-08-06,Sandhausen,Fortuna Dusseldorf,2.0,2.0,D
DEU2,2016-08-06,Bochum,Union Berlin,2.0,1.0,H
BEL1,2016-08-06,Eupen,Mechelen,0.0,2.0,A
NLD1,2016-08-06,Den Haag,Go Ahead Eagles,3.0,0.0,H
NLD1,2016-08-06,Twente,Excelsior,1.0,2.0,A
NLD1,2016-08-06,Utrecht,PSV Eindhoven,1.0,2.0,A
NLD1,2016-08-06,Willem II,Vitesse,1.0,4.0,A
SCO2,2016-08-06,Ayr,Raith Rvs,0.0,2.0,A
SCO2,2016-08-06,Dundee United,Queen of Sth,1.0,1.0,D
DEU2,2016-08-06,Dresden,Nurnberg,1.0,1.0,D
BEL1,2016-08-06,Standard,St Truiden,2.0,0.0,H
ENG2,2016-08-06,Birmingham,Cardiff,0.0,0.0,D
ENG2,2016-08-06,Derby,Brighton,0.0,0.0,D
ENG2,2016-08-06,Nott'm Forest,Burton,4.0,3.0,H
ENG2,2016-08-06,Reading,Preston,1.0,0.0,H
ENG2,2016-08-06,Rotherham,Wolves,2.0,2.0,D
ENG2,2016-08-06,Bristol City,Wigan,2.0,1.0,H
ENG2,2016-08-06,Blackburn,Norwich,1.0,4.0,A
BEL1,2016-08-06,Waasland-Beveren,Waregem,0.0,2.0,A
ENG2,2016-08-06,Huddersfield,Brentford,2.0,1.0,H
ENG2,2016-08-06,Ipswich,Barnsley,4.0,2.0,H
DEU2,2016-08-07,Bielefeld,Karlsruhe,0.0,0.0,D
DEU2,2016-08-07,Braunschweig,Wurzburger Kickers,2.0,1.0,H
DEU2,2016-08-07,Greuther Furth,Munich 1860,1.0,0.0,H
ENG2,2016-08-07,QPR,Leeds,3.0,0.0,H
DEU2,2016-08-07,Heidenheim,Erzgebirge Aue,1.0,0.0,H
ENG2,2016-08-07,Sheffield Weds,Aston Villa,1.0,0.0,H
BEL1,2016-08-07,Anderlecht,Kortrijk,5.0,1.0,H
NLD1,2016-08-07,Groningen,Feyenoord,0.0,5.0,A
NLD1,2016-08-07,Roda,Heracles,1.0,1.0,D
NLD1,2016-08-07,Sparta Rotterdam,Ajax,1.0,3.0,A
BEL1,2016-08-07,Gent,Genk,1.0,0.0,H
BEL1,2016-08-07,Lokeren,Westerlo,3.0,0.0,H
NLD1,2016-08-07,AZ Alkmaar,Heerenveen,2.0,2.0,D
SCO1,2016-08-07,St Johnstone,Aberdeen,0.0,0.0,D
SCO1,2016-08-07,Hearts,Celtic,1.0,2.0,A
DEU2,2016-08-08,Stuttgart,St Pauli,2.0,1.0,H
FRA2,2016-08-12,Orleans,Ajaccio,2.0,0.0,H
FRA2,2016-08-12,Troyes,Laval,1.0,0.0,H
FRA2,2016-08-12,Tours,Strasbourg,1.0,3.0,A
FRA2,2016-08-12,Red Star,Brest,0.0,3.0,A
DEU2,2016-08-12,Fortuna Dusseldorf,Stuttgart,1.0,0.0,H
FRA2,2016-08-12,Clermont,Sochaux,1.0,2.0,A
FRA2,2016-08-12,Bourg Peronnas,Auxerre,2.0,4.0,A
FRA2,2016-08-12,Amiens,Niort,2.0,0.0,H
FRA2,2016-08-12,Ajaccio GFCO,Le Havre,1.0,1.0,D
PRT1,2016-08-12,Rio Ave,Porto,1.0,3.0,A
FRA1,2016-08-12,Bastia,Paris SG,0.0,1.0,A
DEU2,2016-08-12,Nurnberg,Heidenheim,1.0,1.0,D
BEL1,2016-08-12,St Truiden,Anderlecht,0.0,0.0,D
FRA1,2016-08-12,Monaco,Guingamp,2.0,2.0,D
ENG2,2016-08-12,Brighton,Nott'm Forest,3.0,0.0,H
DEU2,2016-08-12,Erzgebirge Aue,Sandhausen,2.0,0.0,H
NLD1,2016-08-12,Heerenveen,Utrecht,2.0,2.0,D
BEL1,2016-08-13,Mechelen,Kortrijk,0.0,0.0,D
BEL1,2016-08-13,Genk,Waasland-Beveren,2.0,2.0,D
NLD1,2016-08-13,Zwolle,Sparta Rotterdam,0.0,3.0,A
BEL1,2016-08-13,Charleroi,Gent,1.0,1.0,D
NLD1,2016-08-13,Vitesse,Den Haag,1.0,2.0,A
NLD1,2016-08-13,Excelsior,Groningen,2.0,0.0,H
NLD1,2016-08-13,Ajax,Roda,2.0,2.0,D
BEL1,2016-08-13,Westerlo,Eupen,1.0,2.0,A
FRA2,2016-08-13,Valenciennes,Reims,0.0,0.0,D
ENG2,2016-08-13,Aston Villa,Rotherham,3.0,0.0,H
ENG2,2016-08-13,Barnsley,Derby,2.0,0.0,H
ENG2,2016-08-13,Brentford,Ipswich,2.0,0.0,H
ENG2,2016-08-13,Burton,Bristol City,1.0,2.0,A
ENG2,2016-08-13,Leeds,Birmingham,1.0,2.0,A
ENG2,2016-08-13,Newcastle,Huddersfield,1.0,2.0,A
ENG2,2016-08-13,Norwich,Sheffield Weds,0.0,0.0,D
ENG2,2016-08-13,Preston,Fulham,1.0,2.0,A
PRT1,2016-08-13,Tondela,Benfica,0.0,2.0,A
PRT1,2016-08-13,Sp Lisbon,Maritimo,2.0,0.0,H
PRT1,2016-08-13,Moreirense,Pacos Ferreira,1.0,1.0,D
ENG1,2016-08-13,Everton,Tottenham,1.0,1.0,D
ENG1,2016-08-13,Crystal Palace,West Brom,0.0,1.0,A
ENG1,2016-08-13,Burnley,Swansea,0.0,1.0,A
SCO2,2016-08-13,Dumbarton,Dundee United,1.0,0.0,H
SCO2,2016-08-13,Hibernian,Dunfermline,2.0,1.0,H
SCO2,2016-08-13,Morton,Falkirk,1.0,1.0,D
SCO2,2016-08-13,Queen of Sth,Ayr,4.0,1.0,H
SCO2,2016-08-13,Raith Rvs,St Mirren,3.0,1.0,H
FRA1,2016-08-13,Bordeaux,St Etienne,3.0,2.0,H
FRA1,2016-08-13,Caen,Lorient,3.0,2.0,H
ENG1,2016-08-13,Hull,Leicester,2.0,1.0,H
FRA1,2016-08-13,Dijon,Nantes,0.0,1.0,A
SCO1,2016-08-13,Motherwell,St Johnstone,1.0,2.0,A
SCO1,2016-08-13,Inverness C,Ross County,2.0,3.0,A
SCO1,2016-08-13,Hamilton,Kilmarnock,1.0,2.0,A
SCO1,2016-08-13,Dundee,Rangers,1.0,2.0,A
SCO1,2016-08-13,Aberdeen,Hearts,0.0,0.0,D
FRA1,2016-08-13,Metz,Lille,3.0,2.0,H
FRA1,2016-08-13,Montpellier,Angers,1.0,0.0,H
ENG1,2016-08-13,Man City,Sunderland,2.0,1.0,H
ENG1,2016-08-13,Southampton,Watford,1.0,1.0,D
ENG1,2016-08-13,Middlesbrough,Stoke,1.0,1.0,D
ENG2,2016-08-13,Wigan,Blackburn,3.0,0.0,H
ENG2,2016-08-13,Wolves,Reading,2.0,0.0,H
DEU2,2016-08-13,Karlsruhe,Bochum,1.0,1.0,D
DEU2,2016-08-13,St Pauli,Braunschweig,0.0,2.0,A
BEL1,2016-08-14,Waregem,Standard,1.0,0.0,H
PRT1,2016-08-14,Setubal,Belenenses,2.0,0.0,H
PRT1,2016-08-14,Guimaraes,Sp Braga,0.0,1.0,A
DEU2,2016-08-14,Munich 1860,Bielefeld,1.0,0.0,H
FRA1,2016-08-14,Nice,Rennes,1.0,0.0,H
